chainId,chain_name,shortName
262,SUR Blockchain Network,SUR
266,Neura,neura
267,Neura Testnet,tneura
268,Neura Devnet,dneura
271,EgonCoin Mainnet,EGONm
274,LaChain,lachain
278,xFair.AI Mainnet,fai
279,BPX Blockchain,bpx
282,Cronos zkEVM Testnet,zkTCRO
291,Orderly Mainnet,orderly
295,Hedera Mainnet,hedera-mainnet
296,Hedera Testnet,hedera-testnet
297,Hedera Previewnet,hedera-previewnet
298,Hedera Localnet,hedera-localnet
300,zkSync Sepolia Testnet,zksync-sepolia
302,zkCandy Sepolia Testnet,zkcandy-sepolia
303,Neurochain Testnet,ncnt
305,ZKSats Mainnet,ZKSats-Mainnet
307,Lovely Network Testnet,LOVELY-Testnet
308,Furtheon,furtheon
309,Wyzth Testnet,wyz
313,Neurochain Mainnet,ncn
322,KCC Testnet,kcst
323,Cosvm Mainnet,cvm
325,GRVT Mainnet,grvt
326,GRVT Sepolia Testnet,grvt-sepolia
333,Web3Q Mainnet,w3q
335,DFK Chain Test,DFKTEST
338,Cronos Testnet,tcro
345,TSC Mainnet,TSC
360,Shape,shape
363,Theta Sapphire Testnet,theta-sapphire
364,Theta Amber Testnet,theta-amber
365,Theta Testnet,theta-testnet
371,Consta Testnet,tCNT
